iter	Logloss
0	0.625675428
1	0.5779763049
2	0.5091405747
3	0.4807521559
4	0.4557187732
5	0.4383144866
6	0.4227785694
7	0.4073529935
8	0.3968445934
9	0.3865870484
10	0.3776565522
11	0.3685227193
12	0.3512186655
13	0.3460257706
14	0.3260296202
15	0.3177511497
16	0.3058283392
17	0.3023014457
18	0.2969470104
19	0.2904819278
20	0.2867087662
21	0.280779126
22	0.2768603691
23	0.2713480643
24	0.2686592965
25	0.2632672808
26	0.2579449183
27	0.2547132841
28	0.2518110009
29	0.2456309203
30	0.2425734348
31	0.2401311444
32	0.2375929751
33	0.2357386892
34	0.2333960839
35	0.2320394803
36	0.2309559574
37	0.228227782
38	0.2250656852
39	0.2218988851
40	0.2202745743
41	0.2180585705
42	0.215014251
43	0.2140180361
44	0.2129356209
45	0.2113422565
46	0.210554245
47	0.2096218019
48	0.2083992793
49	0.2068081156
50	0.2047935614
51	0.2039681113
52	0.2031730129
53	0.202242688
54	0.2012265482
55	0.2002117847
56	0.1993706781
57	0.1985000096
58	0.1958077333
59	0.1954475791
60	0.1946505497
61	0.1931602639
62	0.1923232962
63	0.1916049499
64	0.1904419066
65	0.1897408762
66	0.1884752493
67	0.1880427746
68	0.1876734659
69	0.1873414102
70	0.1867545358
71	0.1863259755
72	0.185556994
73	0.184879437
74	0.1825207993
75	0.1820773893
76	0.1817309095
77	0.1809017242
78	0.1804866189
79	0.180025586
80	0.1795710651
81	0.178919496
82	0.1786721911
83	0.177754247
84	0.1763317117
85	0.1751551455
86	0.1726954822
87	0.1722262167
88	0.1717315264
89	0.1708923605
90	0.1704786991
91	0.1702200318
92	0.1697882715
93	0.1694892142
94	0.1682292748
95	0.1679239659
96	0.1674222376
97	0.166268701
98	0.1660312962
99	0.1657088333
