iter	Passed	Remaining
0	6	683
1	14	690
2	20	655
3	27	661
4	36	684
5	43	678
6	50	668
7	56	645
8	63	640
9	69	627
10	76	621
11	83	612
12	90	608
13	97	601
14	104	591
15	111	585
16	118	578
17	125	571
18	132	565
19	140	562
20	147	554
21	154	549
22	163	546
23	171	543
24	178	534
25	184	525
26	192	519
27	198	509
28	204	501
29	213	497
30	219	488
31	228	486
32	235	479
33	246	477
34	253	470
35	261	464
36	268	456
37	276	451
38	282	442
39	290	436
40	297	428
41	303	419
42	310	411
43	316	402
44	321	392
45	326	383
46	332	375
47	338	367
48	345	359
49	351	351
50	357	343
51	362	334
52	368	327
53	374	319
54	380	311
55	385	303
56	391	295
57	397	288
58	405	281
59	410	273
60	416	266
61	423	259
62	429	252
63	436	245
64	443	238
65	449	231
66	456	224
67	462	217
68	469	210
69	475	203
70	481	196
71	489	190
72	496	183
73	502	176
74	509	169
75	515	162
76	522	155
77	529	149
78	535	142
79	542	135
80	548	128
81	555	121
82	561	115
83	568	108
84	575	101
85	581	94
86	589	88
87	596	81
88	604	74
89	611	67
90	617	61
91	625	54
92	631	47
93	638	40
94	645	33
95	652	27
96	659	20
97	666	13
98	672	6
99	678	0
