Employee_ID,Full_Name,Department,Job_Title,Location,Experience_Years,Performance_Rating,Hire_Date,Status
1,Employee 001,HR,Manager,"Astana, KZ",9.8,4.5,2017-10-02,Active
2,Employee 002,Sales,Engineer,"Almaty, KZ",6.5,4.0,2013-04-03,Active
3,Employee 003,Engineering,Specialist,"Istanbul, TR",1.9,3.8,2012-10-19,Active
4,Employee 004,Sales,Specialist,"Almaty, KZ",12.9,4.7,2016-07-05,Active
5,Employee 005,Operations,Specialist,"Tashkent, UZ",12.2,4.0,2022-04-12,Resigned
6,Employee 006,Marketing,Specialist,"Almaty, KZ",0.9,4.6,2015-08-22,Active
7,Employee 007,IT Support,Manager,"Tashkent, UZ",8.8,3.0,2024-03-23,Active
8,Employee 008,Engineering,Analyst,"Delhi, IN",7.9,3.8,2017-12-15,Active
9,Employee 009,Engineering,Specialist,"Almaty, KZ",6.3,3.6,2019-07-02,Active
10,Employee 010,Engineering,Specialist,"Istanbul, TR",8.6,3.1,2017-06-23,Active
11,Employee 011,Finance,Coordinator,"Delhi, IN",6.8,4.6,2019-12-22,Resigned
12,Employee 012,Marketing,Analyst,"Warsaw, PL",9.7,2.0,2022-08-10,Active
13,Employee 013,Marketing,Engineer,"Tashkent, UZ",14.1,2.9,2019-01-07,Active
14,Employee 014,Sales,Senior Engineer,"Warsaw, PL",6.0,4.5,2019-02-06,Active
15,Employee 015,Operations,Senior Engineer,"Tashkent, UZ",12.3,4.0,2018-06-22,Active
16,Employee 016,Sales,Engineer,"Astana, KZ",2.6,3.1,2015-11-08,Resigned
17,Employee 017,IT Support,Senior Engineer,"Delhi, IN",3.9,4.4,2017-10-19,Active
18,Employee 018,Sales,Coordinator,"Warsaw, PL",7.7,3.6,2021-11-22,Active
19,Employee 019,Finance,Coordinator,"Istanbul, TR",14.3,3.2,2018-07-13,Resigned
20,Employee 020,Marketing,Engineer,"Bishkek, KG",2.9,2.7,2015-08-06,Resigned
21,Employee 021,Operations,Engineer,"Almaty, KZ",0.0,3.8,2017-10-01,Resigned
22,Employee 022,Sales,Manager,"Delhi, IN",2.2,3.9,2016-06-20,Active
23,Employee 023,Engineering,Coordinator,"Almaty, KZ",7.3,4.5,2016-02-05,Resigned
24,Employee 024,HR,Analyst,"Warsaw, PL",7.2,3.5,2023-03-17,Resigned
25,Employee 025,Operations,Senior Engineer,"Tashkent, UZ",10.4,4.8,2016-11-28,Resigned
26,Employee 026,IT Support,Specialist,"Tashkent, UZ",5.5,2.9,2014-06-25,Active
27,Employee 027,Operations,Specialist,"Istanbul, TR",4.9,3.8,2024-04-26,Active
28,Employee 028,Finance,Coordinator,"Warsaw, PL",3.4,5.0,2020-08-12,Active
29,Employee 029,Engineering,Analyst,"Istanbul, TR",7.1,4.0,2017-08-26,Active
30,Employee 030,HR,Engineer,"Tashkent, UZ",3.3,4.6,2015-08-07,Active
31,Employee 031,Finance,Specialist,"Delhi, IN",12.6,2.4,2024-11-03,Active
32,Employee 032,Engineering,Coordinator,"Bishkek, KG",10.7,3.7,2015-08-06,Active
33,Employee 033,Marketing,Engineer,"Tashkent, UZ",12.0,4.4,2018-12-03,Active
34,Employee 034,Sales,Engineer,"Astana, KZ",2.3,3.5,2019-11-05,Active
35,Employee 035,Operations,Lead,"Bishkek, KG",14.1,4.2,2012-01-26,Active
36,Employee 036,Marketing,Specialist,"Almaty, KZ",11.2,4.4,2014-07-28,Active
37,Employee 037,IT Support,Engineer,"Astana, KZ",3.8,3.4,2021-06-09,Active
38,Employee 038,IT Support,Engineer,"Astana, KZ",13.7,4.2,2017-08-22,Active
39,Employee 039,Operations,Coordinator,"Bishkek, KG",13.8,2.6,2020-09-01,Active
40,Employee 040,IT Support,Specialist,"Astana, KZ",0.1,3.6,2024-03-06,Active
41,Employee 041,Operations,Engineer,"Warsaw, PL",8.3,3.2,2020-08-26,Active
42,Employee 042,Operations,Senior Engineer,"Almaty, KZ",2.9,4.5,2012-02-17,Active
43,Employee 043,Engineering,Engineer,"Istanbul, TR",6.6,2.9,2020-04-23,Active
44,Employee 044,Operations,Coordinator,"Delhi, IN",7.2,3.0,2015-12-17,Active
45,Employee 045,HR,Senior Engineer,"Delhi, IN",12.6,3.9,2019-06-03,Active
46,Employee 046,Finance,Senior Engineer,"Almaty, KZ",10.0,3.9,2024-02-25,Resigned
47,Employee 047,Marketing,Lead,"Warsaw, PL",5.5,3.6,2019-04-24,Active
48,Employee 048,Finance,Senior Engineer,"Bishkek, KG",14.8,4.0,2015-03-23,Active
49,Employee 049,Operations,Analyst,"Bishkek, KG",6.3,3.4,2017-01-11,Active
50,Employee 050,Finance,Engineer,"Warsaw, PL",5.8,3.9,2020-10-10,Active
51,Employee 051,Engineering,Coordinator,"Almaty, KZ",3.4,3.8,2016-01-25,Active
52,Employee 052,IT Support,Coordinator,"Astana, KZ",6.3,3.4,2022-05-13,Active
53,Employee 053,Operations,Manager,"Delhi, IN",10.5,3.8,2023-03-14,Active
54,Employee 054,HR,Lead,"Almaty, KZ",1.3,3.7,2016-02-20,Active
55,Employee 055,Engineering,Coordinator,"Tashkent, UZ",1.8,5.0,2018-05-20,Active
56,Employee 056,Operations,Senior Engineer,"Warsaw, PL",14.1,3.8,2014-05-02,Resigned
57,Employee 057,HR,Analyst,"Warsaw, PL",8.0,3.8,2022-03-09,Active
58,Employee 058,Engineering,Engineer,"Tashkent, UZ",0.2,4.4,2023-09-18,Active
59,Employee 059,Operations,Senior Engineer,"Bishkek, KG",14.0,4.8,2018-11-16,Active
60,Employee 060,Finance,Analyst,"Delhi, IN",10.3,4.5,2015-06-07,Active
61,Employee 061,Marketing,Lead,"Warsaw, PL",2.1,5.0,2014-01-03,Active
62,Employee 062,HR,Senior Engineer,"Bishkek, KG",0.8,3.4,2022-07-28,Active
63,Employee 063,HR,Senior Engineer,"Delhi, IN",10.4,4.1,2016-08-01,Active
64,Employee 064,HR,Analyst,"Delhi, IN",3.7,3.7,2016-04-12,Active
65,Employee 065,HR,Engineer,"Bishkek, KG",7.1,3.1,2020-01-03,Active
66,Employee 066,Engineering,Manager,"Astana, KZ",8.8,3.6,2018-01-10,Active
67,Employee 067,Sales,Specialist,"Almaty, KZ",14.4,3.9,2023-10-13,Active
68,Employee 068,Marketing,Senior Engineer,"Bishkek, KG",4.3,3.2,2021-11-05,Resigned
69,Employee 069,IT Support,Specialist,"Warsaw, PL",9.4,3.5,2014-09-25,Active
70,Employee 070,IT Support,Coordinator,"Istanbul, TR",0.2,2.1,2022-10-26,Active
71,Employee 071,Marketing,Lead,"Warsaw, PL",3.4,4.0,2017-02-13,Active
72,Employee 072,Operations,Lead,"Almaty, KZ",0.3,3.7,2020-11-08,Active
73,Employee 073,Engineering,Coordinator,"Bishkek, KG",1.1,5.0,2013-11-17,Resigned
74,Employee 074,Marketing,Analyst,"Bishkek, KG",12.1,2.9,2016-04-24,Active
75,Employee 075,Sales,Lead,"Warsaw, PL",14.6,2.8,2019-11-10,Active
76,Employee 076,Operations,Lead,"Warsaw, PL",3.0,3.6,2021-03-11,Active
