iter	Passed	Remaining
0	1	322
1	2	282
2	4	269
3	5	268
4	7	277
5	8	272
6	9	266
7	11	265
8	12	262
9	13	263
10	15	259
11	16	256
12	17	252
13	18	250
14	20	247
15	21	246
16	22	244
17	23	241
18	25	239
19	26	238
20	27	236
21	28	234
22	30	234
23	31	233
24	33	233
25	34	231
26	35	229
27	37	229
28	38	228
29	40	226
30	41	225
31	42	223
32	43	221
33	45	219
34	46	218
35	47	217
36	48	215
37	50	213
38	51	212
39	52	210
40	54	209
41	55	208
42	56	207
43	57	205
44	59	204
45	60	202
46	61	201
47	63	200
48	64	198
49	65	197
50	66	195
51	68	194
52	69	193
53	70	191
54	72	190
55	73	189
56	75	188
57	76	186
58	77	185
59	78	183
60	80	182
61	81	180
62	82	179
63	83	178
64	85	177
65	86	176
66	88	174
67	89	173
68	90	171
69	91	170
70	93	169
71	94	167
72	95	166
73	96	165
74	99	165
75	100	164
76	102	163
77	103	162
78	105	161
79	106	159
80	107	158
81	109	157
82	110	155
83	111	154
84	113	153
85	115	152
86	116	151
87	117	149
88	119	148
89	120	146
90	121	145
91	122	144
92	124	143
93	125	141
94	127	140
95	128	139
96	130	138
97	131	136
98	132	135
99	134	134
100	135	132
101	136	131
102	137	129
103	139	128
104	140	127
105	141	125
106	143	124
107	144	123
108	146	122
109	147	120
110	148	119
111	150	118
112	151	117
113	153	115
114	154	114
115	156	113
116	157	111
117	158	110
118	160	109
119	161	107
120	163	106
121	164	105
122	166	104
123	167	102
124	169	101
125	170	100
126	172	98
127	173	97
128	174	96
129	176	94
130	177	93
131	179	92
132	181	91
133	182	90
134	184	88
135	185	87
136	187	86
137	188	84
138	190	83
139	192	82
140	193	80
141	194	79
142	196	78
143	198	77
144	199	75
145	201	74
146	202	73
147	203	71
148	205	70
149	206	68
150	208	67
151	209	66
152	210	64
153	212	63
154	214	62
155	215	60
156	217	59
157	219	58
158	220	56
159	221	55
160	223	54
161	224	52
162	225	51
163	227	49
164	229	48
165	231	47
166	232	45
167	233	44
168	235	43
169	237	41
170	238	40
171	239	39
172	241	37
173	242	36
174	244	34
175	246	33
176	247	32
177	249	30
178	251	29
179	252	28
180	253	26
181	255	25
182	257	23
183	258	22
184	259	21
185	261	19
186	263	18
187	264	16
188	266	15
189	267	14
190	269	12
191	271	11
192	273	9
193	274	8
194	275	7
195	277	5
196	279	4
197	280	2
198	282	1
199	283	0
