id,rate,usage_hours,complaints,customer_left,reason_to_leave
1,normal,1007.15235127598,27,no,0
2,premium,953.463711059018,28,yes,0
3,normal,1027.00956763264,26,no,0
4,normal,984.807719738723,15,no,0
5,normal,968.184264644529,8,no,0
6,premium,977.697728320703,18,no,0
7,premium,1044.46052457588,12,no,0
8,normal,1011.48009422955,16,no,0
9,premium,1003.50981088173,16,no,0
10,premium,1002.55319799957,12,no,0
11,normal,1014.91157576791,0,no,0
12,premium,1019.93002569678,12,no,0
13,premium,999.202950144366,14,no,0
14,premium,1018.9129832807,15,no,0
15,normal,938.872000015408,11,no,0
16,premium,1035.08762360444,21,no,0
17,normal,941.719455453019,23,no,0
18,normal,987.052759966681,14,yes,1
19,normal,1021.47471073517,8,no,0
20,normal,1047.45197092357,27,no,0
21,normal,995.018813405904,22,yes,1
22,normal,951.537031187419,28,no,0
23,premium,1042.20105881562,18,yes,1
24,premium,997.803847825045,6,no,0
25,premium,1030.34247535216,10,no,0
26,normal,940.114690929542,8,yes,0
27,premium,1041.85355828837,1,no,0
28,normal,1008.11277586937,5,no,0
29,premium,976.268146648912,27,no,0
30,premium,1031.2644507181,2,yes,0
31,premium,1040.42045064278,22,no,0
32,premium,1005.57789114497,25,no,0
33,premium,1032.48128745187,9,no,0
34,normal,942.575254451389,21,no,0
35,premium,1002.3821330731,28,no,0
36,normal,980.182506751133,11,no,0
37,normal,990.023781020438,1,yes,0
38,normal,1058.98455519653,26,no,0
39,normal,1026.44275172691,3,no,0
40,premium,1022.51421874433,28,no,0
41,premium,963.756899185074,6,no,0
42,normal,966.884904880131,25,no,0
43,normal,967.408489890231,9,yes,1
44,premium,1012.39996857417,6,yes,1
45,premium,982.789255708199,29,no,0
46,normal,1002.29370209679,9,no,0
47,premium,1035.83317221698,12,no,0
48,premium,975.133974696771,9,no,0
49,premium,1020.0662268555,3,yes,2
50,premium,987.152421080189,28,no,0
51,normal,988.841487911058,18,no,0
52,normal,1058.29289238438,4,no,0
53,normal,1019.7475266734,26,yes,0
54,normal,1015.17470869014,2,no,0
55,premium,994.864501186456,26,no,0
56,normal,943.817502183758,25,no,0
57,normal,1009.455452918,1,no,0
58,normal,994.439722552074,5,no,0
59,normal,995.436326205263,22,no,0
60,premium,978.268616473304,28,yes,1
61,premium,1040.50564908933,7,no,0
62,normal,983.569251232337,23,no,0
63,premium,993.41733712181,14,no,0
64,premium,977.4619377443,16,yes,0
65,normal,1020.79732345692,11,no,0
66,premium,1006.5704246566,20,no,0
67,normal,950.00277853017,20,no,0
68,normal,1033.11054559115,24,no,0
69,premium,1031.06360602819,15,no,0
70,premium,964.204653035718,10,no,0
71,normal,1059.14043171983,19,no,0
72,premium,979.049557685484,13,no,0
73,normal,987.220496384479,4,yes,1
74,normal,1005.95881335459,4,yes,1
75,premium,936.272496319214,23,yes,0
76,premium,1004.89013046117,9,no,0
77,premium,993.57756529003,11,no,0
78,normal,974.999059289329,26,no,0
79,premium,896.934317083911,1,no,0
80,normal,1017.36440407241,27,no,0
81,premium,955.746113199845,0,no,0
82,premium,958.917865940314,11,yes,1
83,normal,1015.41254524051,8,no,0
84,normal,941.564438721925,17,yes,1
85,premium,1013.78520806983,6,yes,1
86,premium,999.539899580868,14,no,0
87,premium,998.461972045533,25,yes,2
88,normal,964.532590741248,26,no,0
89,normal,941.218081924697,19,no,0
90,premium,1049.88518878476,20,yes,1
91,normal,985.535152823682,7,no,0
92,normal,979.644999200842,12,no,0
93,normal,1050.27616485134,9,no,0
94,premium,1059.67990981466,23,no,0
95,premium,992.151925289587,13,yes,1
96,normal,969.274443346193,2,no,0
97,premium,1017.7047164962,3,yes,1
98,premium,1002.60718809234,25,no,0
99,premium,1032.84227123095,2,yes,1
100,normal,1028.81790619262,9,no,0
101,premium,975.409550660316,23,no,0
102,premium,1044.98810691137,20,no,0
103,normal,904.051307203669,13,no,0
104,premium,1054.43654522087,8,no,0
105,normal,1040.26472816705,11,yes,0
106,normal,979.219573133718,18,no,0
107,normal,1009.27117188635,29,yes,1
108,normal,1029.79093520454,22,yes,2
109,premium,977.783793862007,9,yes,1
110,premium,989.574245839501,3,no,0
111,normal,985.425787472675,7,yes,1
112,premium,1010.99710483176,2,yes,1
113,premium,1062.44543076079,8,no,0
114,normal,1002.75192634446,5,yes,1
115,normal,1015.53566616829,12,no,0
116,normal,1015.80585106341,21,no,0
117,premium,994.505317691955,15,no,0
118,normal,1037.9931968298,17,no,0
119,premium,977.652381155731,3,no,0
120,premium,1033.09998714734,15,yes,2
121,premium,986.399657445052,11,yes,1
122,premium,1018.41298935382,13,yes,1
123,premium,975.626214616048,21,no,0
124,normal,989.959948039716,17,yes,0
125,normal,1009.22835105735,17,yes,2
126,premium,1011.6672660892,1,yes,1
127,premium,1024.88656057962,14,no,0
128,normal,1017.31414391413,28,no,0
129,premium,1023.6401748736,16,no,0
130,premium,1058.16491651711,2,no,0
131,normal,985.702696042701,13,yes,2
132,normal,1036.13396437131,21,no,0
133,premium,995.200422792842,3,no,0
134,premium,947.561148003068,29,no,0
135,premium,961.841586688902,6,no,0
136,normal,983.981462801585,11,yes,0
137,premium,1010.83236645769,22,no,0
138,normal,992.965285884014,13,no,0
139,normal,945.556171786588,18,yes,2
140,premium,1021.80084129685,9,no,0
141,normal,997.164866343613,14,no,0
142,premium,985.231215450011,29,yes,0
143,premium,1015.41195174678,11,no,0
144,normal,1037.01413612083,11,yes,1
145,normal,942.845929078975,14,yes,1
146,premium,1025.9787134142,15,no,0
147,premium,966.233148645464,29,no,0
148,normal,1031.36745504365,1,no,0
149,normal,939.203799123915,17,yes,1
150,normal,1050.04248574087,2,yes,1
151,premium,1019.62646080732,14,no,0
152,normal,1048.28748009041,18,no,0
153,normal,989.209487846903,17,no,0
154,normal,978.872155035547,2,yes,1
155,premium,990.946744232716,28,no,0
156,premium,1013.69260948074,24,yes,0
157,normal,981.924383815159,4,yes,1
158,normal,1009.11853948074,14,no,0
159,premium,1058.77564579363,11,yes,1
160,normal,1061.92383558463,11,no,0
161,normal,1005.63425506967,1,no,0
162,premium,1037.02466891582,19,no,0
163,premium,978.407136770473,26,no,0
164,normal,1060.16664335852,13,yes,1
165,premium,1019.35904619979,2,no,0
166,premium,1009.01562586467,29,no,0
167,normal,1048.95345659206,18,no,0
168,premium,1022.63479642734,25,yes,0
169,premium,984.376673070913,24,no,0
170,normal,1007.72218902619,24,yes,0
171,normal,960.837917367176,2,no,0
172,normal,1037.35401017371,29,yes,1
173,premium,1009.9008993097,25,no,0
174,normal,1014.21382428011,13,yes,1
175,premium,955.875604394674,29,no,0
176,premium,1068.80454259229,18,yes,1
177,premium,1046.18683052182,20,no,0
178,premium,1028.65475318244,18,no,0
179,normal,971.76617490176,11,no,0
180,normal,994.030713417433,9,no,0
181,premium,986.16317875011,22,no,0
182,premium,961.225073745197,27,yes,0
183,normal,1005.68222338786,18,yes,1
184,normal,966.197752757991,25,yes,1
185,premium,1024.01593282406,19,no,0
186,premium,994.081121378988,6,no,0
187,premium,1064.56718930706,7,yes,1
188,premium,1018.81487360469,23,yes,1
189,normal,1002.70685912177,3,yes,1
190,premium,1004.87249981768,25,no,0
191,premium,971.258752202698,8,no,0
192,normal,979.829530999147,9,no,0
193,premium,1032.2346431951,9,no,0
194,premium,1028.51606175425,27,yes,2
195,normal,1000.00990717873,4,yes,1
196,normal,959.320039748032,19,no,0
197,premium,972.424187799259,29,no,0
198,premium,993.203109291788,26,no,0
199,premium,992.215277382681,25,no,0
200,premium,975.131037588363,0,yes,1
201,normal,995.561736633104,10,no,0
202,normal,1017.6244020319,18,yes,0
203,normal,1011.51243974124,2,no,0
204,premium,977.235441702077,25,yes,1
205,premium,1029.50391410856,18,yes,1
206,premium,1018.79078680771,17,no,0
207,premium,971.885265411498,28,no,0
208,normal,961.103693099324,23,no,0
209,premium,971.867468396018,6,no,0
210,normal,946.599719519199,2,no,0
211,premium,998.24498521578,11,yes,0
212,premium,944.462110466152,17,yes,1
213,normal,1031.69263136215,25,yes,0
214,premium,1004.53196499906,28,no,0
215,premium,953.50185392908,9,no,0
216,normal,999.345221561555,8,no,0
217,premium,991.353344960346,6,no,0
218,premium,1027.04566730027,12,yes,0
219,premium,1025.87977189546,29,no,0
220,premium,1023.44469405151,24,no,0
221,normal,1037.49955836929,26,no,0
222,premium,955.290735307635,8,no,0
223,normal,1003.5711902116,27,no,0
224,normal,990.022657268582,8,no,0
225,premium,1064.22237440721,19,no,0
226,normal,992.661614527984,28,no,0
227,normal,960.725176275235,4,no,0
228,premium,990.315112890422,28,no,0
229,premium,995.845796212036,1,no,0
230,premium,1014.53286551142,1,no,0
231,normal,994.792226532984,16,no,0
232,normal,979.190713651291,23,no,0
233,premium,1019.89033490556,21,no,0
234,normal,1008.86671518914,11,no,0
235,normal,1031.84502723564,6,no,0
236,normal,1009.96565987539,15,no,0
237,premium,966.426878249941,20,no,0
238,normal,1068.47005354101,28,no,0
239,normal,984.383313058508,7,no,0
240,premium,985.247423899907,20,yes,0
241,premium,1006.17766290961,18,yes,1
242,normal,975.814852510517,24,no,0
243,normal,1015.75830627287,20,no,0
244,premium,983.991719097103,25,no,0
245,premium,939.081752862932,2,no,0
246,normal,1011.61900000333,17,no,0
247,normal,1027.60187505498,2,no,0
248,premium,981.004489968148,25,yes,1
249,normal,1058.04380416774,12,no,0
250,normal,990.521523997086,4,yes,0
251,premium,992.787806856857,20,no,0
252,premium,995.955915923254,17,yes,2
253,premium,1026.89624654814,2,no,0
254,normal,989.282608483438,16,no,0
255,premium,996.786777860456,6,no,0
256,premium,1040.12914249797,11,no,0
257,normal,955.306502351714,6,no,0
258,normal,965.83791399448,0,no,0
259,normal,941.384758554145,11,yes,2
260,premium,1031.31643856925,27,yes,2
261,premium,1035.34415592989,26,no,0
262,premium,1028.98201211973,29,yes,1
263,premium,998.432923470604,24,no,0
264,normal,983.307664473258,5,no,0
265,normal,1027.06889812134,22,no,0
266,normal,1010.35283908152,10,no,0
267,premium,979.258525937361,2,no,0
268,normal,947.319302747689,2,no,0
269,normal,934.961838795392,15,yes,1
270,normal,1002.52275548281,24,no,0
271,premium,1013.12976187174,16,no,0
272,premium,1033.08033300259,12,no,0
273,premium,1026.32723668229,4,yes,1
274,premium,972.096520025098,8,no,0
275,normal,1003.7069213664,8,no,0
276,premium,997.827157586378,16,no,0
277,premium,1059.6910031093,25,yes,1
278,normal,982.103673255029,22,no,0
279,premium,1035.08872955351,23,no,0
280,premium,974.424518798822,11,no,0
281,normal,982.504650883535,23,no,0
282,premium,1027.54836345151,19,no,0
283,premium,993.334927370694,30,no,0
284,premium,987.063541064008,15,no,0
285,premium,1006.13168880745,4,yes,0
286,normal,1039.82088961729,17,yes,1
287,normal,1043.64438703623,29,no,0
288,normal,982.532815857355,28,no,0
289,premium,1033.72671077018,21,yes,1
290,premium,1003.13457167139,4,no,0
291,normal,1015.52227747994,10,no,0
292,premium,953.661282828757,10,no,0
293,premium,1001.48505969696,6,no,0
294,premium,974.784554457477,17,no,0
295,normal,1024.20964422663,28,yes,1
296,normal,981.128555336856,3,no,0
297,premium,1013.84821452439,23,no,0
298,premium,970.239812869468,20,no,0
299,premium,962.42724067224,27,no,0
300,normal,956.043848793203,10,no,0
301,premium,1006.88822910886,11,no,0
302,premium,1009.52302830158,6,yes,1
303,normal,1013.53061878456,4,no,0
304,premium,1012.10963140212,5,no,0
305,normal,953.918709174604,25,no,0
306,normal,943.270484191033,22,yes,0
307,normal,981.930321789719,28,yes,2
308,premium,1021.6577963177,19,no,0
309,premium,1038.58166624252,24,yes,1
310,normal,1017.87837472388,17,no,0
311,premium,1042.18300326285,4,no,0
312,normal,953.097244050562,9,no,0
313,premium,1019.92733047569,25,no,0
314,normal,977.681318979436,4,no,0
315,premium,1001.67137841048,18,yes,1
316,premium,1044.28120363168,7,yes,0
317,premium,988.110821961229,16,no,0
318,premium,1008.99603240342,11,yes,1
319,premium,998.213505676264,12,no,0
320,normal,967.12639296086,17,no,0
321,premium,985.26735595588,22,no,0
322,premium,977.376364635074,14,no,0
323,premium,1056.3637153236,7,yes,0
324,premium,996.797640395026,24,no,0
325,normal,1033.93976948976,10,no,0
326,premium,1022.19572813705,25,no,0
327,premium,979.700204110778,17,no,0
328,normal,1007.07751306259,4,no,0
329,premium,999.722308445273,23,no,0
330,normal,964.389798178813,17,no,0
331,premium,1024.16121009151,2,no,0
332,premium,1008.78250096278,22,no,0
333,premium,1010.1667198535,1,no,0
334,premium,977.196195096321,16,no,0
335,premium,988.869739491337,24,yes,1
336,normal,961.709917956665,5,yes,1
337,normal,1061.13705748446,11,no,0
338,premium,1003.11353750716,17,no,0
339,normal,977.959218121854,20,no,0
340,normal,1001.50059741226,17,yes,0
341,premium,991.709682621671,2,yes,0
342,premium,991.192101580181,20,yes,0
343,normal,932.854168966631,20,no,0
344,premium,987.485700060795,0,no,0
345,normal,991.766564162596,25,no,0
346,normal,970.286765583003,24,yes,1
347,normal,1009.15087049259,16,no,0
348,premium,1000.2440467809,7,no,0
349,normal,959.656848463379,25,yes,0
350,premium,985.151030677223,27,no,0
351,premium,1035.73559008935,28,no,0
352,normal,991.973076521436,21,no,0
353,premium,1033.91319475466,3,yes,1
354,premium,958.890073005067,26,no,0
355,normal,1004.12983258787,15,no,0
356,normal,1020.46363360948,20,no,0
357,normal,977.751665868718,25,yes,1
358,premium,994.048500702923,16,no,0
359,normal,1033.24965995336,28,no,0
360,normal,968.20672832834,10,no,0
361,normal,996.628244170998,17,yes,0
362,normal,1002.55601402045,3,no,0
363,normal,1015.75896131746,18,yes,1
364,normal,997.921863473776,19,yes,1
365,normal,989.826365648492,17,no,0
366,normal,1041.55965428567,12,no,0
367,premium,977.529788667834,16,yes,0
368,normal,992.916937513704,7,no,0
369,premium,970.970411252377,23,yes,0
370,normal,978.280161278449,1,no,0
371,normal,983.198811716695,27,no,0
372,normal,986.237657263434,5,no,0
373,normal,1031.70917305939,11,yes,0
374,normal,1026.82987177444,4,no,0
375,normal,1013.22004771562,23,no,0
376,normal,972.923515389731,24,yes,0
377,normal,1002.58147404516,22,no,0
378,premium,1044.90540503474,15,no,0
379,normal,1003.10127634634,20,no,0
380,normal,972.569905735968,22,no,0
381,normal,980.138268310102,13,no,0
382,normal,1001.1711336985,23,no,0
383,normal,986.594486405286,28,yes,1
384,premium,1023.58168712791,9,no,0
385,normal,1016.56563294768,12,no,0
